settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-04-27,27,26375,27863,24049,1231,6562,4468,17143,0,7,-470,1004,991,1003,-452,-529,1019,1398,995,785,0
2024-03-24,30,23184,24958,20717,1562,6562,5923,17082,0,7,562,1999,992,1003,-450,-531,999,1399,997,-186,0
2024-04-20,13,22330,23908,20068,890,6562,70,17143,0,12,-842,1004,992,489,-450,-412,994,1399,997,-204,0
2024-07-09,11,17992,20649,16405,1846,6562,4,17193,0,380,151,1855,992,0,-261,-297,-124,1399,997,-1095,0
2024-10-21,36,33827,35445,31707,2539,6622,43,17194,0,1,3901,989,-1,-417,-6,0,801,0,0,-693,0
2024-02-13,24,36788,38381,34104,2092,6562,1868,16877,0,9,3062,2002,-3,1052,-450,-531,999,1083,997,1044,0
2024-04-22,31,31455,32338,28812,912,6562,2800,17143,0,7,336,982,987,728,-205,-171,994,1396,996,63,0
2024-09-08,25,24598,25138,22271,756,6622,3729,16396,0,14,946,1524,-1,1051,-25,0,1015,1398,992,987,0
2024-01-09,43,36463,41192,33178,1984,6488,0,16740,0,12,919,-1836,-4,594,-82,0,-656,-6,-730,-803,0
2024-11-20,27,36020,37618,32892,2645,6622,5203,17194,0,15,976,1759,992,340,-452,-531,924,950,0,65,0
2024-05-18,20,22483,23750,20319,480,6562,4499,17193,0,11,-563,828,992,1002,-249,-507,912,1399,886,790,0
2024-03-10,5,21845,24903,20375,2729,6562,0,17012,0,1527,3782,1706,774,843,-400,-531,311,50,674,792,0
2024-09-29,19,24629,25146,22303,1514,6622,1542,17194,0,16,2012,999,-1,1020,400,406,1017,1397,0,985,0
2024-04-16,5,19840,24839,18641,4062,6562,0,17143,0,951,4111,24,452,-1015,-380,0,-197,-1178,559,-778,0
2024-03-02,2,26745,27485,24878,1027,6562,0,16994,0,11,2301,1999,-1,1052,-111,-17,999,1398,996,791,0
2024-07-14,11,16471,18930,15055,912,6562,3,17193,0,955,373,1032,747,0,-291,-528,66,1397,875,-185,0
2024-09-15,10,16419,19532,15134,1565,6622,0,16399,0,550,2395,1001,-1,-966,-321,-527,-43,1398,997,-205,0
2024-07-22,28,24452,25754,21874,1619,6563,6333,17193,0,14,-1304,2003,992,0,-261,-527,334,1398,996,1424,0
2024-11-06,12,23205,26942,21277,703,6622,0,17194,0,501,1392,-402,-4,-1015,-248,0,-967,997,0,0,0
2024-12-02,20,34268,35700,31333,3082,6622,1943,17194,0,12,2861,1633,493,644,-449,-371,196,698,0,698,0
2024-08-28,20,26609,27903,24377,1397,6622,3261,16398,0,16,2308,1656,-1,1009,-250,-527,969,1397,995,993,0
2024-08-11,10,16979,18733,15697,533,6563,0,17193,0,13,755,1364,992,-416,-301,-524,726,1399,999,0,0
2024-04-07,35,24645,27862,23105,5035,6562,2433,17104,0,166,5422,1450,952,-562,343,0,-933,-880,972,-176,0
2024-03-08,30,28034,28900,25783,4241,6562,4299,17011,0,7,4644,2000,992,1003,-259,203,890,165,861,684,0
2024-06-11,6,19485,21754,17853,1479,6562,0,17193,0,887,1328,1806,-1,0,-351,-530,405,1398,997,659,0
2024-07-15,45,26141,27950,23749,583,6562,0,17193,0,16,-496,1943,918,0,-451,-527,170,1399,962,-315,0
2024-05-02,11,19081,22419,17566,1772,6562,0,17193,0,956,1072,1006,992,-900,-451,-531,288,1397,996,916,0
2024-06-26,28,22616,23265,20346,917,6562,9761,17193,0,7,901,1435,801,1003,-142,0,900,697,987,986,0
2024-04-06,1,20344,24488,19078,2860,6562,0,17104,0,102,3848,1189,947,-1014,138,0,-1017,-717,998,-794,0
2024-04-14,41,27184,28694,25535,3047,6562,0,17104,0,0,3751,1004,992,-1010,88,12,603,1397,997,595,0
2024-09-05,18,28122,29614,25820,2276,6622,643,16396,0,12,1993,1897,838,1003,-451,-529,999,1397,792,1422,0
2024-10-27,31,24275,24891,22401,1881,6622,3937,17194,0,14,2880,2004,-1,2,303,0,998,1397,-1,666,0
2024-06-13,44,25579,28807,23885,3440,6562,0,17193,0,12,2976,2009,-1,-976,-451,-248,-340,1260,998,-700,0
2024-03-10,17,24807,26786,23117,2788,6562,453,17012,0,398,4235,1815,713,1003,-450,-531,475,444,914,777,0
2024-01-05,5,24113,26706,22149,1002,6488,0,16734,0,1505,894,1244,-4,239,-414,-70,768,995,997,102,0
2024-10-17,37,33074,34560,30418,1411,6622,0,17194,0,4,2515,536,-1,597,-452,-529,48,0,0,661,0
2024-09-27,39,31625,33110,29208,2250,6622,152,17194,0,1,2829,1005,-1,1020,-452,-531,0,1397,0,1422,0
2024-05-31,46,23970,25638,21938,1128,6562,0,17193,0,9,-70,1505,992,1002,-451,-527,-181,1399,996,597,0
2024-12-05,38,36782,37950,34094,5215,6622,0,17194,0,4,4124,1360,924,1003,-450,-114,998,1397,0,1422,0
2024-06-15,14,19001,20224,17139,865,6562,1129,17193,0,278,-1018,2008,-1,1003,-309,-135,323,1399,980,790,0
